,BA.5.2.48*,EG.5.1*,BF.7.14*,XBB.1.16*,XBB.1.9.1*,XBB.1.5*,XBB.1.22.1*,BA.2.75*,Others
Shanxi,0.37174721189591076,0.10966542750929369,0.26022304832713755,0.046468401486988845,0.08550185873605948,0.022304832713754646,0.026022304832713755,0.020446096654275093,0.05762081784386617
Guizhou,0.33962264150943394,0.37735849056603776,0.10377358490566038,0.05660377358490566,0.03773584905660377,0.0,0.0,0.009433962264150943,0.07547169811320754
Tianjin,0.396078431372549,0.043137254901960784,0.39215686274509803,0.01568627450980392,0.0392156862745098,0.00392156862745098,0.00392156862745098,0.011764705882352941,0.09411764705882353
Qinghai,0.19047619047619047,0.11484593837535013,0.056022408963585436,0.03361344537815126,0.24649859943977592,0.01680672268907563,0.011204481792717087,0.0,0.33053221288515405
Jiangxi,0.19768664563617244,0.028391167192429023,0.05573080967402734,0.2386961093585699,0.3038906414300736,0.06519453207150368,0.023133543638275498,0.025236593059936908,0.06203995793901157
Beijing,0.17882117882117882,0.005994005994005994,0.47352647352647353,0.04995004995004995,0.07192807192807193,0.04095904095904096,0.00999000999000999,0.02097902097902098,0.14785214785214784
Jiangsu,0.18740515933232169,0.03945371775417299,0.20333839150227617,0.07814871016691957,0.061456752655538696,0.17374810318664644,0.1411229135053111,0.02959028831562974,0.08573596358118361
Hebei,0.5077639751552795,0.0,0.4114906832298137,0.0,0.004658385093167702,0.0015527950310559005,0.0,0.0,0.07453416149068323
Hunan,0.775,0.0,0.0875,0.0,0.0,0.0,0.0,0.0,0.1375
Hubei,0.5199511400651465,0.1763029315960912,0.05211726384364821,0.024429967426710098,0.08835504885993485,0.028501628664495113,0.08143322475570032,0.005700325732899023,0.023208469055374593
Hong Kong,0.0171606864274571,0.0405616224648986,0.0452418096723869,0.059282371294851796,0.0655226209048362,0.0343213728549142,0.0109204368174727,0.31357254290171604,0.41341653666146644
Hainan,0.5492341356673961,0.0,0.42669584245076586,0.0,0.0,0.002188183807439825,0.0,0.0,0.02188183807439825
Xizang,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Xinjiang,0.3685872138910813,0.13575374901341752,0.05840568271507498,0.05130228887134965,0.10655090765588003,0.037884767166535126,0.025256511444356748,0.013417521704814523,0.20284135753749014
Liaoning,0.44171779141104295,0.006134969325153374,0.2085889570552147,0.027607361963190184,0.015337423312883436,0.012269938650306749,0.003067484662576687,0.2085889570552147,0.07668711656441718
Jilin,0.4846938775510204,0.0,0.33163265306122447,0.0,0.0,0.0,0.0,0.05102040816326531,0.1326530612244898
Guangdong,0.5593830334190232,0.008226221079691516,0.1372750642673522,0.04730077120822622,0.12442159383033419,0.037532133676092545,0.0035989717223650387,0.031876606683804626,0.05038560411311054
Heilongjiang,0.3700159489633174,0.0685805422647528,0.23444976076555024,0.05263157894736842,0.12200956937799043,0.0215311004784689,0.009569377990430622,0.028708133971291867,0.09250398724082935
Taiwan,0.04261954261954262,0.12785862785862787,0.014553014553014554,0.14033264033264034,0.1392931392931393,0.07588357588357589,0.02494802494802495,0.1548856548856549,0.2796257796257796
Chongqing,0.9680851063829787,0.0,0.026595744680851064,0.0,0.0,0.0,0.0,0.005319148936170213,0.0
Zhejiang,0.5408085430968727,0.009153318077803204,0.3150266971777269,0.015255530129672006,0.02440884820747521,0.014492753623188406,0.007627765064836003,0.012967200610221205,0.060259344012204424
Guangxi,0.5410447761194029,0.0,0.31343283582089554,0.0037313432835820895,0.0,0.0,0.0,0.03731343283582089,0.1044776119402985
Shaanxi,0.5050847457627119,0.0,0.43050847457627117,0.0,0.0,0.0,0.0,0.003389830508474576,0.061016949152542375
Gansu,0.46001881467544686,0.14487300094073377,0.04985888993414864,0.02539981185324553,0.1213546566321731,0.08184383819379115,0.028222013170272814,0.00940733772342427,0.07902163687676388
Fujian,0.3592564491654021,0.16957511380880122,0.18057663125948406,0.07018209408194234,0.08687405159332322,0.024279210925644917,0.02541729893778452,0.015553869499241275,0.06828528072837632
Shanghai,0.08033211127884408,0.265149881388829,0.04431744662497304,0.23334052188915247,0.08335130472288117,0.07893034289411258,0.08841923657537201,0.021242182445546688,0.10491697218028898
Sichuan,0.20230607966457023,0.38714185883997204,0.08525506638714186,0.04786862334032145,0.16561844863731656,0.03039832285115304,0.018867924528301886,0.013626834381551363,0.04891684136967156
Inner Mongolia,0.3864734299516908,0.0,0.5169082125603864,0.0,0.0,0.024154589371980676,0.0,0.0,0.07246376811594203
Shandong,0.41940928270042194,0.0,0.41012658227848103,0.0,0.0,0.0,0.0,0.005063291139240506,0.16540084388185655
Henan,0.4012121212121212,0.1993939393939394,0.11757575757575757,0.051515151515151514,0.1096969696969697,0.017575757575757574,0.03393939393939394,0.006666666666666667,0.062424242424242424
Anhui,0.3346774193548387,0.07949308755760369,0.17857142857142858,0.0478110599078341,0.032834101382488476,0.05357142857142857,0.12960829493087558,0.008064516129032258,0.13536866359447006
Yunnan,0.22391857506361323,0.21068702290076335,0.04885496183206107,0.12468193384223919,0.1989821882951654,0.0544529262086514,0.03460559796437659,0.0371501272264631,0.06666666666666667
Ningxia,0.6333333333333333,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.1
